loan_id,defaulted_12m,grade,purpose,home_ownership,emp_length,annual_inc,dti,fico_range_low
77757,0,B,other,OWN,< 1 year,20000.0,10.0,710.0
146564,0,C,other,MORTGAGE,4 years,109000.0,24.01,765.0
152911,0,F,debt_consolidation,MORTGAGE,2 years,120000.0,19.02,665.0
167669,0,E,debt_consolidation,MORTGAGE,1 year,30000.0,13.16,645.0
169271,0,F,small_business,MORTGAGE,10+ years,72000.0,28.4,690.0
204428,0,D,debt_consolidation,RENT,6 years,39996.0,9.48,660.0
257100,0,F,debt_consolidation,RENT,6 years,36000.0,26.03,665.0
264101,0,G,debt_consolidation,MORTGAGE,< 1 year,101100.0,29.7,660.0
280733,0,G,debt_consolidation,RENT,2 years,47216.0,23.53,640.0
285386,0,A,other,MORTGAGE,10+ years,54080.0,10.78,730.0
345503,0,D,other,RENT,1 year,50000.0,18.01,670.0
351026,0,E,car,RENT,6 years,48000.0,19.4,650.0
351734,0,F,credit_card,MORTGAGE,1 year,45000.0,22.83,650.0
352645,0,E,educational,MORTGAGE,1 year,42450.0,23.89,660.0
361677,0,A,home_improvement,MORTGAGE,5 years,120000.0,6.46,725.0
381265,0,F,debt_consolidation,RENT,2 years,38376.0,10.76,670.0
388497,0,E,debt_consolidation,MORTGAGE,5 years,80000.0,16.3,660.0
412736,0,D,credit_card,MORTGAGE,1 year,82000.0,13.21,695.0
415990,0,B,debt_consolidation,MORTGAGE,2 years,45000.0,22.37,710.0
421971,0,F,credit_card,RENT,3 years,73700.0,21.85,670.0
423396,0,C,other,RENT,2 years,42000.0,19.63,670.0
464677,0,D,debt_consolidation,RENT,10+ years,39000.0,13.91,665.0
479215,0,A,credit_card,RENT,2 years,42000.0,19.77,735.0
486412,0,A,other,RENT,1 year,100000.0,5.59,760.0
488783,0,B,debt_consolidation,RENT,3 years,35976.0,20.68,735.0
502326,0,C,credit_card,RENT,9 years,75000.0,23.54,705.0
515798,0,F,car,MORTGAGE,3 years,57000.0,3.64,660.0
519950,0,B,debt_consolidation,MORTGAGE,3 years,67000.0,23.21,730.0
528810,0,E,debt_consolidation,MORTGAGE,10+ years,29880.0,14.14,680.0
532621,0,G,debt_consolidation,MORTGAGE,4 years,136000.0,22.93,665.0
534128,0,C,debt_consolidation,RENT,< 1 year,60000.0,22.92,690.0
538862,0,B,debt_consolidation,MORTGAGE,4 years,62000.0,11.61,755.0
548792,0,D,debt_consolidation,RENT,4 years,60000.0,6.34,660.0
550558,0,F,small_business,MORTGAGE,1 year,125000.0,22.8,685.0
581087,0,E,debt_consolidation,RENT,3 years,150000.0,8.34,690.0
589786,0,A,debt_consolidation,OWN,2 years,23004.0,24.05,725.0
590102,0,G,debt_consolidation,MORTGAGE,3 years,126000.0,9.39,665.0
603999,0,E,home_improvement,MORTGAGE,5 years,72000.0,4.2,680.0
622808,0,C,debt_consolidation,MORTGAGE,3 years,52800.0,17.34,715.0
630959,0,A,home_improvement,MORTGAGE,6 years,75000.0,15.79,760.0
631347,0,A,credit_card,RENT,2 years,60000.0,5.44,745.0
661258,0,G,small_business,MORTGAGE,10+ years,180000.0,17.95,680.0
665860,0,B,debt_consolidation,RENT,6 years,44100.0,19.73,690.0
667962,0,A,credit_card,MORTGAGE,4 years,52000.0,18.88,730.0
669574,0,D,debt_consolidation,RENT,< 1 year,50000.0,22.27,685.0
674749,0,G,debt_consolidation,RENT,6 years,145000.0,12.03,665.0
679729,0,A,debt_consolidation,MORTGAGE,8 years,75000.0,18.67,695.0
686310,0,D,car,RENT,2 years,60000.0,11.72,690.0
696566,0,F,debt_consolidation,MORTGAGE,6 years,80000.0,17.09,680.0
708241,0,D,small_business,OWN,5 years,150000.0,23.79,665.0
716187,0,F,debt_consolidation,RENT,2 years,50004.0,2.95,660.0
716589,0,F,credit_card,RENT,< 1 year,55000.0,24.72,675.0
716791,0,E,major_purchase,MORTGAGE,4 years,100008.0,14.13,675.0
719204,0,F,medical,RENT,7 years,60000.0,22.6,665.0
739407,0,F,major_purchase,MORTGAGE,< 1 year,90996.0,18.63,680.0
747991,0,D,car,RENT,5 years,14000.0,3.0,695.0
748740,0,F,debt_consolidation,RENT,10+ years,65499.0,24.97,665.0
758995,0,B,debt_consolidation,MORTGAGE,3 years,70000.0,11.01,705.0
759277,0,E,small_business,RENT,2 years,95100.0,22.03,690.0
761524,0,E,debt_consolidation,RENT,6 years,52400.0,14.66,700.0
768638,0,D,other,RENT,2 years,34200.0,15.89,680.0
769653,0,F,credit_card,RENT,3 years,42500.0,19.26,680.0
771753,0,A,other,MORTGAGE,,66000.0,2.96,790.0
787086,0,G,debt_consolidation,RENT,9 years,85000.0,13.68,660.0
796979,0,E,debt_consolidation,MORTGAGE,< 1 year,61000.0,13.5,690.0
799595,0,F,debt_consolidation,RENT,4 years,78000.0,9.72,660.0
828539,0,G,debt_consolidation,RENT,10+ years,58000.0,23.07,660.0
832885,0,D,other,RENT,4 years,31000.0,24.04,700.0
841266,0,F,credit_card,RENT,5 years,42744.0,20.58,660.0
853204,0,E,debt_consolidation,OWN,2 years,63000.0,14.67,670.0
856521,0,B,major_purchase,RENT,3 years,24240.0,0.0,775.0
878197,0,A,wedding,RENT,10+ years,80000.0,7.44,735.0
981989,0,F,debt_consolidation,RENT,< 1 year,77000.0,23.47,675.0
993768,0,D,debt_consolidation,RENT,10+ years,250000.0,16.42,660.0
1006327,0,C,car,RENT,1 year,37200.0,18.16,705.0
1032493,0,E,credit_card,MORTGAGE,6 years,41000.0,24.91,665.0
1038542,0,C,debt_consolidation,MORTGAGE,1 year,27600.0,6.74,705.0
1038701,0,B,debt_consolidation,RENT,10+ years,92000.0,8.27,685.0
1038943,0,F,major_purchase,MORTGAGE,5 years,82000.0,20.9,675.0
1042060,0,F,credit_card,OWN,2 years,56000.0,21.9,675.0
1045401,0,B,debt_consolidation,RENT,10+ years,45000.0,15.81,740.0
1045795,0,C,home_improvement,MORTGAGE,3 years,48000.0,19.15,695.0
1047748,0,F,debt_consolidation,MORTGAGE,10+ years,115000.0,17.24,665.0
1051513,0,E,debt_consolidation,RENT,5 years,45000.0,24.53,685.0
1064698,0,E,debt_consolidation,RENT,10+ years,60000.0,20.48,700.0
1067223,0,B,debt_consolidation,MORTGAGE,10+ years,48000.0,11.93,695.0
1076751,0,C,credit_card,RENT,2 years,67000.0,18.88,690.0
1082215,0,E,debt_consolidation,RENT,< 1 year,45760.0,4.67,665.0
1100379,0,G,house,RENT,4 years,69000.0,17.08,660.0
1100464,0,D,debt_consolidation,MORTGAGE,10+ years,475000.0,17.17,705.0
1106661,0,E,debt_consolidation,MORTGAGE,3 years,90000.0,10.61,700.0
1113592,0,A,credit_card,MORTGAGE,4 years,60000.0,26.65,730.0
1119494,0,B,debt_consolidation,RENT,7 years,40000.0,18.84,695.0
1119853,0,G,home_improvement,MORTGAGE,,53136.0,3.36,660.0
1122759,0,C,credit_card,RENT,2 years,45573.0,24.88,670.0
1133113,0,G,debt_consolidation,RENT,< 1 year,65000.0,24.38,660.0
1145764,0,A,small_business,RENT,4 years,89500.0,16.06,765.0
1148022,0,B,credit_card,MORTGAGE,2 years,55000.0,5.04,725.0
1149580,0,A,debt_consolidation,RENT,5 years,75000.0,24.13,735.0
1172473,0,A,debt_consolidation,MORTGAGE,8 years,62250.0,26.74,725.0
1182417,0,A,credit_card,RENT,10+ years,76900.0,16.02,735.0
1197293,0,C,other,OWN,10+ years,80000.0,15.33,730.0
1198440,0,A,debt_consolidation,OWN,< 1 year,51000.0,22.0,725.0
1204574,0,C,credit_card,RENT,5 years,28000.0,21.04,675.0
1227103,0,D,debt_consolidation,MORTGAGE,8 years,60000.0,10.0,720.0
1234072,0,C,debt_consolidation,MORTGAGE,10+ years,54470.0,18.18,700.0
1239426,0,A,other,OWN,,16980.0,18.73,720.0
1250833,0,D,debt_consolidation,MORTGAGE,3 years,70000.0,13.2,705.0
