loan_id,vintage_month,months_on_book,snapshot_month,delinquency_state
142302256,2018-10,1,2018-10,current
142302256,2018-10,2,2018-11,current
142302256,2018-10,3,2018-12,current
142302256,2018-10,4,2019-01,current
142302256,2018-10,5,2019-02,current
142302256,2018-10,6,2019-03,current
142302256,2018-10,7,2019-04,current
142302256,2018-10,8,2019-05,current
142302256,2018-10,9,2019-06,current
142302256,2018-10,10,2019-07,current
142302256,2018-10,11,2019-08,current
142302256,2018-10,12,2019-09,current
142302256,2018-10,13,2019-10,current
142302256,2018-10,14,2019-11,current
142302256,2018-10,15,2019-12,current
142302256,2018-10,16,2020-01,current
142302256,2018-10,17,2020-02,current
142302256,2018-10,18,2020-03,current
142302256,2018-10,19,2020-04,current
142302256,2018-10,20,2020-05,current
142302256,2018-10,21,2020-06,current
142302256,2018-10,22,2020-07,current
142302256,2018-10,23,2020-08,current
142302256,2018-10,24,2020-09,current
142302256,2018-10,25,2020-10,current
142302256,2018-10,26,2020-11,current
142302256,2018-10,27,2020-12,current
142302256,2018-10,28,2021-01,current
142302256,2018-10,29,2021-02,current
142302256,2018-10,30,2021-03,current
142302256,2018-10,31,2021-04,current
142302256,2018-10,32,2021-05,current
142302256,2018-10,33,2021-06,current
142302256,2018-10,34,2021-07,current
142302256,2018-10,35,2021-08,current
142302256,2018-10,36,2021-09,current
65665178,2015-12,1,2015-12,current
65665178,2015-12,2,2016-01,current
65665178,2015-12,3,2016-02,current
65665178,2015-12,4,2016-03,current
65665178,2015-12,5,2016-04,current
65665178,2015-12,6,2016-05,current
65665178,2015-12,7,2016-06,current
65665178,2015-12,8,2016-07,current
65665178,2015-12,9,2016-08,current
65665178,2015-12,10,2016-09,current
65665178,2015-12,11,2016-10,current
65665178,2015-12,12,2016-11,current
65665178,2015-12,13,2016-12,current
65665178,2015-12,14,2017-01,current
65665178,2015-12,15,2017-02,current
65665178,2015-12,16,2017-03,paid_off
878197,2011-09,1,2011-09,current
878197,2011-09,2,2011-10,current
878197,2011-09,3,2011-11,current
878197,2011-09,4,2011-12,current
878197,2011-09,5,2012-01,current
878197,2011-09,6,2012-02,current
878197,2011-09,7,2012-03,current
878197,2011-09,8,2012-04,current
878197,2011-09,9,2012-05,current
878197,2011-09,10,2012-06,current
878197,2011-09,11,2012-07,current
878197,2011-09,12,2012-08,current
878197,2011-09,13,2012-09,current
878197,2011-09,14,2012-10,current
878197,2011-09,15,2012-11,current
878197,2011-09,16,2012-12,current
878197,2011-09,17,2013-01,current
878197,2011-09,18,2013-02,current
878197,2011-09,19,2013-03,current
878197,2011-09,20,2013-04,current
878197,2011-09,21,2013-05,current
878197,2011-09,22,2013-06,current
878197,2011-09,23,2013-07,current
878197,2011-09,24,2013-08,current
878197,2011-09,25,2013-09,current
878197,2011-09,26,2013-10,current
878197,2011-09,27,2013-11,current
878197,2011-09,28,2013-12,current
878197,2011-09,29,2014-01,current
878197,2011-09,30,2014-02,current
878197,2011-09,31,2014-03,current
878197,2011-09,32,2014-04,current
878197,2011-09,33,2014-05,paid_off
1496047,2012-09,1,2012-09,current
1496047,2012-09,2,2012-10,current
1496047,2012-09,3,2012-11,current
1496047,2012-09,4,2012-12,current
1496047,2012-09,5,2013-01,current
1496047,2012-09,6,2013-02,current
1496047,2012-09,7,2013-03,current
1496047,2012-09,8,2013-04,current
1496047,2012-09,9,2013-05,current
1496047,2012-09,10,2013-06,current
1496047,2012-09,11,2013-07,current
1496047,2012-09,12,2013-08,current
1496047,2012-09,13,2013-09,current
1496047,2012-09,14,2013-10,current
1496047,2012-09,15,2013-11,current
1496047,2012-09,16,2013-12,current
1496047,2012-09,17,2014-01,current
1496047,2012-09,18,2014-02,current
1496047,2012-09,19,2014-03,current
1496047,2012-09,20,2014-04,current
1496047,2012-09,21,2014-05,current
1496047,2012-09,22,2014-06,current
1496047,2012-09,23,2014-07,current
1496047,2012-09,24,2014-08,current
1496047,2012-09,25,2014-09,current
1496047,2012-09,26,2014-10,current
1496047,2012-09,27,2014-11,current
1496047,2012-09,28,2014-12,current
1496047,2012-09,29,2015-01,current
1496047,2012-09,30,2015-02,current
1496047,2012-09,31,2015-03,current
1496047,2012-09,32,2015-04,current
1496047,2012-09,33,2015-05,current
1496047,2012-09,34,2015-06,current
