vintage_month,months_on_book,cohort_loans,cumulative_defaults,cum_default_rate_pct
2007-06,1,1,0.0,0.0
2007-06,2,1,0.0,0.0
2007-06,3,1,0.0,0.0
2007-06,4,1,0.0,0.0
2007-06,5,1,0.0,0.0
2007-06,6,1,0.0,0.0
2007-06,7,1,0.0,0.0
2007-06,8,1,0.0,0.0
2007-06,9,1,0.0,0.0
2007-06,10,1,0.0,0.0
2007-06,11,1,0.0,0.0
2007-06,12,1,0.0,0.0
2007-06,13,1,0.0,0.0
2007-06,14,1,0.0,0.0
2007-06,15,1,0.0,0.0
2007-06,16,1,0.0,0.0
2007-06,17,1,0.0,0.0
2007-06,18,1,0.0,0.0
2007-06,19,1,0.0,0.0
2007-06,20,1,0.0,0.0
2007-06,21,1,0.0,0.0
2007-06,22,1,0.0,0.0
2007-06,23,1,0.0,0.0
2007-06,24,1,0.0,0.0
2007-06,25,1,0.0,0.0
2007-06,26,1,0.0,0.0
2007-06,27,1,0.0,0.0
2007-06,28,1,0.0,0.0
2007-06,29,1,0.0,0.0
2007-06,30,1,0.0,0.0
2007-11,1,2,0.0,0.0
2007-11,2,2,0.0,0.0
2007-11,3,2,0.0,0.0
2007-12,1,2,0.0,0.0
2007-12,2,2,0.0,0.0
2007-12,3,2,0.0,0.0
2007-12,4,2,0.0,0.0
2007-12,5,2,0.0,0.0
2007-12,6,2,0.0,0.0
2007-12,7,2,0.0,0.0
2007-12,8,2,0.0,0.0
2007-12,9,2,0.0,0.0
2007-12,10,2,0.0,0.0
2007-12,11,2,0.0,0.0
2007-12,12,2,0.0,0.0
2007-12,13,2,0.0,0.0
2007-12,14,2,0.0,0.0
2007-12,15,2,0.0,0.0
2007-12,16,2,0.0,0.0
2007-12,17,2,0.0,0.0
2007-12,18,2,0.0,0.0
2007-12,19,2,0.0,0.0
2007-12,20,2,0.0,0.0
2007-12,21,2,0.0,0.0
2007-12,22,2,0.0,0.0
2007-12,23,2,0.0,0.0
2007-12,24,2,0.0,0.0
2007-12,25,2,0.0,0.0
2007-12,26,2,0.0,0.0
2007-12,27,2,0.0,0.0
2007-12,28,2,0.0,0.0
2007-12,29,2,0.0,0.0
2007-12,30,2,0.0,0.0
2007-12,31,2,0.0,0.0
2007-12,32,2,0.0,0.0
2007-12,33,2,0.0,0.0
2007-12,34,2,0.0,0.0
2007-12,35,2,0.0,0.0
2007-12,36,2,0.0,0.0
2008-01,1,1,0.0,0.0
2008-01,2,1,0.0,0.0
2008-01,3,1,0.0,0.0
2008-01,4,1,0.0,0.0
2008-01,5,1,0.0,0.0
2008-01,6,1,0.0,0.0
2008-01,7,1,0.0,0.0
2008-01,8,1,0.0,0.0
2008-01,9,1,0.0,0.0
2008-01,10,1,0.0,0.0
2008-01,11,1,0.0,0.0
2008-01,12,1,0.0,0.0
2008-01,13,1,0.0,0.0
2008-02,1,1,0.0,0.0
2008-02,2,1,0.0,0.0
2008-02,3,1,0.0,0.0
2008-02,4,1,0.0,0.0
2008-02,5,1,0.0,0.0
2008-02,6,1,0.0,0.0
2008-02,7,1,0.0,0.0
2008-02,8,1,0.0,0.0
2008-02,9,1,0.0,0.0
2008-02,10,1,0.0,0.0
2008-02,11,1,0.0,0.0
2008-02,12,1,0.0,0.0
2008-02,13,1,0.0,0.0
2008-02,14,1,0.0,0.0
2008-02,15,1,0.0,0.0
2008-02,16,1,0.0,0.0
2008-02,17,1,0.0,0.0
2008-03,1,3,0.0,0.0
2008-03,2,3,0.0,0.0
2008-03,3,3,0.0,0.0
2008-03,4,3,0.0,0.0
2008-03,5,3,0.0,0.0
2008-03,6,3,0.0,0.0
2008-03,7,3,0.0,0.0
2008-03,8,3,0.0,0.0
2008-03,9,3,0.0,0.0
2008-03,10,3,0.0,0.0
2008-03,11,3,0.0,0.0
2008-03,12,3,0.0,0.0
2008-03,13,3,0.0,0.0
2008-03,14,3,0.0,0.0
2008-03,15,3,0.0,0.0
2008-03,16,3,0.0,0.0
2008-03,17,3,0.0,0.0
2008-03,18,3,0.0,0.0
2008-03,19,3,0.0,0.0
2008-03,20,3,0.0,0.0
2008-03,21,3,0.0,0.0
2008-03,22,3,0.0,0.0
2008-03,23,3,0.0,0.0
2008-03,24,3,0.0,0.0
2008-03,25,3,0.0,0.0
2008-03,26,3,0.0,0.0
2008-03,27,3,0.0,0.0
2008-03,28,3,0.0,0.0
2008-03,29,3,0.0,0.0
2008-03,30,3,0.0,0.0
2008-03,31,3,0.0,0.0
2008-03,32,3,0.0,0.0
2008-03,33,3,0.0,0.0
2008-03,34,3,0.0,0.0
2008-03,35,3,0.0,0.0
2008-03,36,3,0.0,0.0
2008-04,1,1,0.0,0.0
2008-04,2,1,0.0,0.0
2008-04,3,1,0.0,0.0
2008-04,4,1,0.0,0.0
2008-04,5,1,0.0,0.0
2008-04,6,1,0.0,0.0
2008-04,7,1,0.0,0.0
2008-04,8,1,0.0,0.0
2008-04,9,1,0.0,0.0
2008-04,10,1,0.0,0.0
2008-04,11,1,0.0,0.0
2008-04,12,1,0.0,0.0
2008-04,13,1,0.0,0.0
2008-04,14,1,0.0,0.0
2008-04,15,1,0.0,0.0
2008-04,16,1,0.0,0.0
2008-04,17,1,0.0,0.0
2008-04,18,1,0.0,0.0
2008-04,19,1,0.0,0.0
2008-04,20,1,0.0,0.0
2008-04,21,1,0.0,0.0
2008-04,22,1,0.0,0.0
2008-04,23,1,0.0,0.0
2008-04,24,1,0.0,0.0
2008-04,25,1,0.0,0.0
2008-04,26,1,0.0,0.0
2008-04,27,1,0.0,0.0
2008-04,28,1,0.0,0.0
2008-04,29,1,0.0,0.0
2008-04,30,1,0.0,0.0
2008-04,31,1,0.0,0.0
2008-04,32,1,0.0,0.0
2008-04,33,1,0.0,0.0
2008-04,34,1,0.0,0.0
2008-04,35,1,0.0,0.0
2008-04,36,1,0.0,0.0
2008-07,1,2,0.0,0.0
2008-07,2,2,0.0,0.0
2008-07,3,2,0.0,0.0
2008-07,4,2,0.0,0.0
2008-07,5,2,0.0,0.0
2008-07,6,2,0.0,0.0
2008-07,7,2,0.0,0.0
2008-07,8,2,0.0,0.0
2008-07,9,2,0.0,0.0
2008-07,10,2,0.0,0.0
2008-07,11,2,0.0,0.0
2008-07,12,2,0.0,0.0
2008-07,13,2,0.0,0.0
2008-07,14,2,0.0,0.0
2008-07,15,2,0.0,0.0
2008-07,16,2,0.0,0.0
2008-07,17,2,0.0,0.0
2008-07,18,2,0.0,0.0
2008-07,19,2,0.0,0.0
2008-07,20,2,0.0,0.0
2008-07,21,2,1.0,50.0
2008-08,1,1,0.0,0.0
2008-08,2,1,0.0,0.0
2008-08,3,1,0.0,0.0
2008-08,4,1,0.0,0.0
2008-08,5,1,0.0,0.0
2008-08,6,1,0.0,0.0
2008-08,7,1,0.0,0.0
2008-08,8,1,0.0,0.0
2008-08,9,1,0.0,0.0
2008-08,10,1,0.0,0.0
2008-08,11,1,0.0,0.0
2008-08,12,1,0.0,0.0
2008-08,13,1,0.0,0.0
2008-08,14,1,0.0,0.0
2008-08,15,1,0.0,0.0
2008-08,16,1,0.0,0.0
2008-08,17,1,0.0,0.0
2008-08,18,1,0.0,0.0
2008-08,19,1,0.0,0.0
2008-08,20,1,0.0,0.0
2008-08,21,1,0.0,0.0
2008-08,22,1,0.0,0.0
2008-08,23,1,0.0,0.0
2008-08,24,1,0.0,0.0
2008-08,25,1,0.0,0.0
2008-08,26,1,0.0,0.0
2008-08,27,1,0.0,0.0
2008-08,28,1,0.0,0.0
2008-08,29,1,0.0,0.0
2008-08,30,1,0.0,0.0
2008-08,31,1,0.0,0.0
2008-08,32,1,0.0,0.0
2008-08,33,1,0.0,0.0
2008-08,34,1,0.0,0.0
2008-08,35,1,0.0,0.0
2008-08,36,1,0.0,0.0
2008-11,1,1,0.0,0.0
2008-11,2,1,0.0,0.0
2008-11,3,1,0.0,0.0
2008-11,4,1,0.0,0.0
2008-11,5,1,0.0,0.0
2008-11,6,1,0.0,0.0
2008-11,7,1,0.0,0.0
2008-11,8,1,0.0,0.0
2008-11,9,1,0.0,0.0
2008-11,10,1,0.0,0.0
2008-11,11,1,0.0,0.0
2008-11,12,1,0.0,0.0
2008-11,13,1,0.0,0.0
2008-11,14,1,0.0,0.0
2008-11,15,1,0.0,0.0
2008-11,16,1,0.0,0.0
2008-11,17,1,0.0,0.0
2008-11,18,1,0.0,0.0
2008-11,19,1,0.0,0.0
2008-11,20,1,0.0,0.0
2008-11,21,1,0.0,0.0
2008-11,22,1,0.0,0.0
2008-11,23,1,0.0,0.0
2008-11,24,1,0.0,0.0
2008-11,25,1,0.0,0.0
2008-11,26,1,0.0,0.0
2008-11,27,1,0.0,0.0
2008-11,28,1,0.0,0.0
2008-11,29,1,0.0,0.0
2008-11,30,1,0.0,0.0
2008-11,31,1,0.0,0.0
2008-11,32,1,0.0,0.0
2008-11,33,1,0.0,0.0
2008-11,34,1,0.0,0.0
2008-11,35,1,0.0,0.0
2008-11,36,1,0.0,0.0
2009-02,1,1,0.0,0.0
2009-02,2,1,0.0,0.0
2009-02,3,1,0.0,0.0
2009-02,4,1,0.0,0.0
2009-02,5,1,0.0,0.0
2009-02,6,1,0.0,0.0
2009-02,7,1,0.0,0.0
2009-02,8,1,0.0,0.0
2009-02,9,1,0.0,0.0
2009-02,10,1,0.0,0.0
2009-03,1,1,0.0,0.0
2009-03,2,1,0.0,0.0
2009-03,3,1,0.0,0.0
2009-03,4,1,0.0,0.0
2009-03,5,1,0.0,0.0
2009-03,6,1,0.0,0.0
2009-03,7,1,0.0,0.0
2009-03,8,1,0.0,0.0
2009-03,9,1,0.0,0.0
2009-03,10,1,0.0,0.0
2009-03,11,1,0.0,0.0
2009-03,12,1,0.0,0.0
2009-03,13,1,0.0,0.0
2009-03,14,1,0.0,0.0
2009-03,15,1,0.0,0.0
2009-03,16,1,0.0,0.0
2009-03,17,1,0.0,0.0
2009-03,18,1,0.0,0.0
2009-03,19,1,0.0,0.0
2009-03,20,1,0.0,0.0
2009-06,1,2,0.0,0.0
2009-06,2,2,0.0,0.0
2009-06,3,2,0.0,0.0
2009-06,4,2,0.0,0.0
2009-06,5,2,0.0,0.0
2009-06,6,2,0.0,0.0
2009-06,7,2,0.0,0.0
2009-06,8,2,0.0,0.0
2009-06,9,2,0.0,0.0
2009-06,10,2,0.0,0.0
2009-06,11,2,0.0,0.0
2009-06,12,2,0.0,0.0
2009-06,13,2,0.0,0.0
2009-06,14,2,0.0,0.0
2009-06,15,2,0.0,0.0
2009-06,16,2,0.0,0.0
2009-06,17,2,0.0,0.0
2009-06,18,2,0.0,0.0
2009-06,19,2,0.0,0.0
2009-06,20,2,0.0,0.0
2009-06,21,2,0.0,0.0
2009-06,22,2,0.0,0.0
2009-06,23,2,0.0,0.0
2009-06,24,2,0.0,0.0
2009-06,25,2,0.0,0.0
2009-06,26,2,0.0,0.0
2009-07,1,2,0.0,0.0
2009-07,2,2,0.0,0.0
2009-07,3,2,0.0,0.0
2009-07,4,2,0.0,0.0
2009-07,5,2,0.0,0.0
2009-07,6,2,0.0,0.0
2009-07,7,2,0.0,0.0
2009-07,8,2,0.0,0.0
2009-07,9,2,0.0,0.0
2009-07,10,2,0.0,0.0
2009-07,11,2,0.0,0.0
2009-07,12,2,0.0,0.0
2009-07,13,2,0.0,0.0
2009-07,14,2,0.0,0.0
2009-07,15,2,0.0,0.0
2009-07,16,2,0.0,0.0
2009-07,17,2,0.0,0.0
2009-07,18,2,0.0,0.0
2009-07,19,2,0.0,0.0
2009-07,20,2,0.0,0.0
2009-07,21,2,0.0,0.0
2009-07,22,2,0.0,0.0
2009-07,23,2,0.0,0.0
2009-07,24,2,0.0,0.0
2009-07,25,2,0.0,0.0
2009-07,26,2,0.0,0.0
2009-07,27,2,0.0,0.0
2009-07,28,2,0.0,0.0
2009-07,29,2,0.0,0.0
2009-07,30,2,1.0,50.0
2009-07,31,2,1.0,50.0
2009-07,32,2,1.0,50.0
2009-07,33,2,1.0,50.0
2009-07,34,2,1.0,50.0
2009-07,35,2,1.0,50.0
2009-07,36,2,1.0,50.0
2009-12,1,1,0.0,0.0
2009-12,2,1,0.0,0.0
2010-01,1,1,0.0,0.0
2010-01,2,1,0.0,0.0
2010-01,3,1,0.0,0.0
2010-01,4,1,0.0,0.0
2010-01,5,1,0.0,0.0
2010-01,6,1,0.0,0.0
2010-01,7,1,0.0,0.0
2010-01,8,1,0.0,0.0
2010-01,9,1,0.0,0.0
2010-01,10,1,0.0,0.0
2010-01,11,1,0.0,0.0
2010-02,1,1,0.0,0.0
2010-02,2,1,0.0,0.0
2010-02,3,1,0.0,0.0
2010-02,4,1,0.0,0.0
2010-02,5,1,0.0,0.0
2010-02,6,1,0.0,0.0
2010-02,7,1,0.0,0.0
2010-02,8,1,0.0,0.0
2010-02,9,1,0.0,0.0
2010-02,10,1,0.0,0.0
2010-02,11,1,0.0,0.0
2010-02,12,1,0.0,0.0
2010-02,13,1,0.0,0.0
2010-02,14,1,0.0,0.0
2010-02,15,1,0.0,0.0
2010-02,16,1,0.0,0.0
2010-02,17,1,0.0,0.0
2010-02,18,1,0.0,0.0
2010-02,19,1,0.0,0.0
2010-02,20,1,0.0,0.0
2010-02,21,1,0.0,0.0
2010-02,22,1,0.0,0.0
2010-02,23,1,0.0,0.0
2010-02,24,1,0.0,0.0
2010-02,25,1,0.0,0.0
2010-02,26,1,0.0,0.0
2010-02,27,1,1.0,100.0
2010-04,1,1,0.0,0.0
2010-04,2,1,0.0,0.0
2010-04,3,1,0.0,0.0
2010-04,4,1,0.0,0.0
2010-04,5,1,0.0,0.0
2010-04,6,1,0.0,0.0
2010-04,7,1,0.0,0.0
2010-04,8,1,0.0,0.0
2010-04,9,1,0.0,0.0
2010-04,10,1,0.0,0.0
2010-04,11,1,0.0,0.0
2010-04,12,1,0.0,0.0
2010-04,13,1,0.0,0.0
2010-04,14,1,0.0,0.0
2010-04,15,1,0.0,0.0
2010-04,16,1,0.0,0.0
2010-05,1,2,0.0,0.0
2010-05,2,2,0.0,0.0
2010-05,3,2,0.0,0.0
2010-05,4,2,0.0,0.0
2010-05,5,2,0.0,0.0
2010-05,6,2,0.0,0.0
2010-05,7,2,0.0,0.0
2010-05,8,2,0.0,0.0
2010-05,9,2,0.0,0.0
2010-05,10,2,0.0,0.0
2010-05,11,2,0.0,0.0
2010-05,12,2,0.0,0.0
2010-05,13,2,0.0,0.0
2010-05,14,2,0.0,0.0
2010-05,15,2,0.0,0.0
2010-05,16,2,0.0,0.0
2010-05,17,2,0.0,0.0
2010-05,18,2,0.0,0.0
2010-05,19,2,0.0,0.0
2010-05,20,2,0.0,0.0
2010-05,21,2,0.0,0.0
2010-05,22,2,0.0,0.0
2010-05,23,2,0.0,0.0
2010-05,24,2,0.0,0.0
2010-05,25,2,0.0,0.0
2010-05,26,2,0.0,0.0
2010-05,27,2,0.0,0.0
2010-05,28,2,0.0,0.0
2010-05,29,2,0.0,0.0
