id,loan_amnt,term,int_rate,grade,sub_grade,emp_length,home_ownership,annual_inc,issue_d,purpose,dti,fico_range_low
142302256,16000.0, 36 months,6.67,A,A2,< 1 year,OWN,90000.0,Oct-2018,credit_card,13.68,690.0
65665178,4500.0, 36 months,7.26,A,A4,,MORTGAGE,48000.0,Dec-2015,debt_consolidation,7.25,695.0
878197,15000.0, 36 months,8.49,A,A5,10+ years,RENT,80000.0,Sep-2011,wedding,7.44,735.0
1496047,10000.0, 36 months,7.9,A,A4,4 years,RENT,55000.0,Sep-2012,debt_consolidation,10.47,730.0
144003196,4000.0, 36 months,8.81,A,A5,7 years,MORTGAGE,55000.0,Dec-2018,other,24.33,725.0
74642716,35000.0, 36 months,6.97,A,A3,10+ years,RENT,101000.0,Mar-2016,credit_card,12.24,720.0
134970363,5000.0, 36 months,6.19,A,A2,10+ years,RENT,64000.0,Jun-2018,medical,9.04,810.0
128554781,10000.0, 36 months,6.08,A,A2,10+ years,MORTGAGE,65000.0,Feb-2018,credit_card,13.85,685.0
1145764,5000.0, 36 months,6.62,A,A2,4 years,RENT,89500.0,Feb-2012,small_business,16.06,765.0
71070797,24000.0, 36 months,6.97,A,A3,2 years,MORTGAGE,130000.0,Feb-2016,debt_consolidation,20.38,685.0
77564730,27500.0, 60 months,7.39,A,A4,6 years,MORTGAGE,90000.0,Apr-2016,debt_consolidation,10.96,715.0
104318827,40000.0, 36 months,6.99,A,A2,10+ years,MORTGAGE,350000.0,Apr-2017,debt_consolidation,16.79,690.0
65140476,7800.0, 36 months,6.24,A,A2,10+ years,MORTGAGE,98000.0,Nov-2015,credit_card,12.5,720.0
62176644,3200.0, 36 months,5.32,A,A1,3 years,MORTGAGE,60000.0,Oct-2015,home_improvement,18.06,805.0
131107765,40000.0, 36 months,5.31,A,A1,10+ years,RENT,69611.0,Apr-2018,debt_consolidation,26.02,795.0
1518451,12000.0, 36 months,6.62,A,A2,2 years,MORTGAGE,84000.0,Sep-2012,credit_card,10.31,735.0
11416112,8000.0, 36 months,6.03,A,A1,1 year,MORTGAGE,69000.0,Feb-2014,major_purchase,23.81,745.0
143563585,10000.0, 36 months,7.02,A,A2,< 1 year,RENT,135000.0,Nov-2018,credit_card,5.51,755.0
71542589,10000.0, 36 months,7.89,A,A5,10+ years,MORTGAGE,52000.0,Feb-2016,credit_card,21.62,685.0
55960359,4000.0, 36 months,5.32,A,A1,7 years,MORTGAGE,44000.0,Aug-2015,credit_card,20.1,820.0
31366692,8000.0, 36 months,6.03,A,A1,8 years,OWN,50000.0,Oct-2014,debt_consolidation,18.07,680.0
121718129,19000.0, 36 months,7.97,A,A5,10+ years,MORTGAGE,194000.0,Oct-2017,credit_card,16.05,715.0
119280211,9100.0, 36 months,7.35,A,A4,3 years,RENT,28000.0,Sep-2017,other,31.25,725.0
132054735,25000.0, 36 months,7.96,A,A5,10+ years,MORTGAGE,115000.0,Apr-2018,debt_consolidation,29.53,715.0
84436886,5000.0, 36 months,8.59,A,A5,10+ years,MORTGAGE,60000.0,Jul-2016,debt_consolidation,11.94,730.0
55563935,16000.0, 36 months,6.89,A,A3,10+ years,MORTGAGE,74000.0,Jul-2015,debt_consolidation,3.56,695.0
97595048,4800.0, 36 months,7.99,A,A5,5 years,MORTGAGE,103900.0,Feb-2017,debt_consolidation,7.85,705.0
77478699,10000.0, 36 months,6.49,A,A2,10+ years,MORTGAGE,99000.0,Apr-2016,debt_consolidation,13.87,695.0
131508050,30000.0, 36 months,7.34,A,A4,< 1 year,MORTGAGE,30000.0,Apr-2018,home_improvement,24.96,700.0
36048839,10800.0, 36 months,6.99,A,A3,4 years,OWN,40000.0,Nov-2014,credit_card,26.59,705.0
127024211,11000.0, 36 months,7.35,A,A4,,RENT,0.0,Jan-2018,credit_card,,750.0
45374212,10000.0, 36 months,6.68,A,A3,< 1 year,MORTGAGE,69000.0,Apr-2015,home_improvement,6.17,750.0
69564411,12000.0, 36 months,7.49,A,A4,,MORTGAGE,43000.0,Jan-2016,credit_card,8.34,685.0
49713579,6000.0, 36 months,6.89,A,A3,10+ years,MORTGAGE,65000.0,May-2015,home_improvement,12.56,660.0
65664390,14625.0, 36 months,7.89,A,A5,10+ years,OWN,52000.0,Nov-2015,debt_consolidation,34.85,775.0
36221854,7000.0, 36 months,6.99,A,A3,< 1 year,RENT,50000.0,Dec-2014,debt_consolidation,7.84,695.0
51947593,8300.0, 36 months,7.89,A,A5,10+ years,MORTGAGE,70000.0,Jun-2015,debt_consolidation,6.67,680.0
129222011,40000.0, 36 months,6.71,A,A3,1 year,RENT,30000.0,Feb-2018,debt_consolidation,17.88,760.0
12635791,24000.0, 36 months,7.12,A,A3,2 years,MORTGAGE,102000.0,May-2014,debt_consolidation,21.64,730.0
138523664,12000.0, 36 months,7.84,A,A4,10+ years,MORTGAGE,60000.0,Aug-2018,debt_consolidation,13.16,675.0
3641139,17000.0, 36 months,7.62,A,A3,< 1 year,MORTGAGE,75000.0,Mar-2013,debt_consolidation,19.72,765.0
118246071,4500.0, 36 months,7.97,A,A5,4 years,MORTGAGE,60000.0,Sep-2017,home_improvement,28.28,730.0
43409194,10000.0, 36 months,6.92,A,A4,< 1 year,RENT,55000.0,Apr-2015,debt_consolidation,16.18,740.0
142495865,3600.0, 36 months,7.84,A,A4,10+ years,OWN,115000.0,Oct-2018,other,18.56,725.0
85723252,9800.0, 36 months,6.99,A,A2,10+ years,RENT,45000.0,Jul-2016,debt_consolidation,27.81,695.0
78659259,24000.0, 36 months,7.39,A,A4,,MORTGAGE,107000.0,May-2016,debt_consolidation,13.86,705.0
48484876,14400.0, 36 months,6.89,A,A3,,MORTGAGE,123000.0,Jun-2015,debt_consolidation,2.6,745.0
77871886,30000.0, 36 months,6.97,A,A3,4 years,OWN,120000.0,Apr-2016,credit_card,21.38,715.0
77228480,8000.0, 36 months,6.97,A,A3,,OWN,50000.0,Apr-2016,credit_card,10.85,745.0
70222111,6500.0, 36 months,6.99,A,A3,2 years,MORTGAGE,67000.0,Feb-2016,debt_consolidation,0.72,790.0
100104804,7000.0, 36 months,6.99,A,A2,,RENT,107000.0,Mar-2017,debt_consolidation,11.98,790.0
55512571,10000.0, 36 months,7.26,A,A4,< 1 year,RENT,65000.0,Jul-2015,credit_card,7.46,705.0
60316187,2625.0, 36 months,6.89,A,A3,7 years,MORTGAGE,66974.0,Sep-2015,medical,2.9,840.0
140377954,10000.0, 36 months,6.67,A,A2,10+ years,MORTGAGE,105664.0,Sep-2018,credit_card,35.65,730.0
139677308,40000.0, 36 months,8.46,A,A5,10+ years,MORTGAGE,95000.0,Sep-2018,debt_consolidation,33.55,740.0
98961142,40000.0, 36 months,6.99,A,A2,2 years,MORTGAGE,386000.0,Mar-2017,credit_card,14.34,715.0
57335056,9500.0, 36 months,6.24,A,A2,10+ years,RENT,45000.0,Jul-2015,credit_card,32.0,800.0
70885409,6050.0, 36 months,7.89,A,A5,10+ years,MORTGAGE,39900.0,Feb-2016,medical,27.13,730.0
132515144,6500.0, 36 months,6.71,A,A3,10+ years,OWN,80000.0,May-2018,house,11.64,700.0
142155633,20000.0, 36 months,6.11,A,A1,10+ years,MORTGAGE,120000.0,Oct-2018,home_improvement,13.72,725.0
50527651,14000.0, 36 months,7.89,A,A5,< 1 year,RENT,77500.0,Jun-2015,debt_consolidation,15.33,665.0
631347,12000.0, 36 months,5.79,A,A2,2 years,RENT,60000.0,Dec-2010,credit_card,5.44,745.0
